Item Number,Component number,Object description,Assembly indicator
10.0,1136907-01,"Assy, Diorite B1 FullRock 48GB, 1x200GbE",Yes
20.0,1107157-01,"Cable, HDMI, Standard Type A Male-to- St",No
30.0,1098823-01,"Cable, Power, Diorite to Dedicated Conn,",No
40.0,1112593-02,"ASM, Tray Cover, Air Baffle, Astoria, EV",No
40.0,1112593-02-FLG,"ASM, Tray Cover, Air Baffle, Astoria(FLE",No
50.0,1134400,"Assy, x16x16 IO Module",No
50.0,1134400-01,"Assy, x16x16 IO Module Bracket, Improved",No
50.0,1134400-01-FGZ,"Assy, x16x16 IO Module Bracket, Improved",No
50.0,1134400-01-FLG,"Assy, x16x16 IO Module Bracket, Improved",No
50.0,1134400-FLG,"Assy, x16x16 IO Module Bracket, Improved",No
60.0,1114467,"Screw, Flathead, Low thickness head, Phi",No
70.0,1136798,"Options, CSSD-PH2X, PCBA, 128GB Raw, 100",Yes
80.0,1136856-03,"Option, Cable, PCIe Cable, 1 x16 Short I",Yes
100.0,1182049,"Option, Memory, 64GB, 10x4, 2Rx4 RANK, D",Yes
110.0,1182060,"Option, PCBA, Habanero16, Interface Card",Yes
120.0,07087259,"Label, Blank, White, 0.25"" x 1.25"", Poly",No
130.0,1150248,"LABEL, SYSTEM, agency, Astoria, COO Fii",No
140.0,1117606-01,"Packaging, Top Level Assembly, Truck Pac",No
150.0,1154335,"Assy, Tray, ASTORIA, Base Config, PRD 96",Yes
160.0,1174345,"Option, Assy, PDB Power Module, Gulp 150",Yes
,1136907-01,"Assy, Diorite B1 FullRock 48GB, 1x200GbE",No
10.0,1123935,"Assembly, Faceplate, Diorite, FRG, Low P",No
10.0,1123935-FMP,"Assembly, Faceplate, Diorite, FRG, Low P",No
20.0,07082350,"SCREW, PHP, 4-40 X .25 SQ CONE, STL, ZI",No
30.0,1136908-01,"Option, Network Card, PCIE, Diorite Full",Yes
,1136798,"Options, CSSD-PH2X, PCBA, 128GB Raw, 100",No
10.0,1098743-03,"CSSD-PH2X, PCBA, 128GB Raw, 100GB Useabl",No
20.0,1150307-03,"CSSD-Saola, PCBA, 128GB Raw, 100GB Useab",No
30.0,1152231-03,"CSSD-Saola, PCBA, 128GB Raw, 100GB Useab",No
50.0,1184683-01,"CSSD-Saola, PCBA, 128GB Raw, 100GB Useab",No
60.0,1184690-01,"CSSD-Saola, PCBA, 128GB Raw, 100GB Useab",No
,1136856-03,"Option, Cable, PCIe Cable, 1 x16 Short I",No
20.0,1132030-01,"Assy, PCIe Cable, 1 x16 Short IO Adapter",No
30.0,1181739-01,"Assy, PCIe Cable, 1 x16 Short IO Adapter",No
40.0,1200195-01,"Assy, PCIe Cable, 1 x16 Short IO Adapter",No
50.0,1202829-01,"Assy, PCIe Cable, 1 x16 Short IO Adapter",No
,1182049,"Option, Memory, 64GB, 10x4, 2Rx4 RANK, D",No
10.0,1106920-02,"Memory, 64GB, Micron-Renesas-MPS, DDR5,",No
20.0,1112233-01,"Memory, 64GB, Hynix-Renesas-TI, DDR5-480",No
30.0,1152076-01,"Memory, 64GB, Samsung-Rambus-MPS, DDR5,",No
40.0,1160468-01,"Memory, 64GB, Samsung-Renesas-TI, DDR5,",No
