"Material	Plant	Version	MRP Area	W 24/2025	W 25/2025	W 26/2025	W 27/2025	W 28/2025	W 29/2025	W 30/2025	W 31/2025	W 32/2025	W 33/2025	W 34/2025	W 35/2025	W 36/2025	W 37/2025	W 38/2025	W 39/2025	W 40/2025	W 41/2025	W 42/2025	W 43/2025	W 44/2025	W 45/2025	W 46/2025	W 47/2025	W 48/2025	W 49/2025	W 50/2025	W 51/2025	W 52/2025	W 01/2026	W 02/2026	W 03/2026	W 04/2026	W 05/2026	W 06/2026	W 07/2026	W 08/2026	W 09/2026	W 10/2026	W 11/2026	W 12/2026	W 13/2026	W 14/2026	W 15/2026	W 16/2026	W 17/2026	W 18/2026	W 19/2026	W 20/2026	W 21/2026	W 22/2026	W 23/2026	W 24/2026	W 25/2026	W 26/2026	W 27/2026	W 28/2026	W 29/2026	W 30/2026	W 31/2026	W 32/2026	W 33/2026	W 34/2026	W 35/2026	W 36/2026	W 37/2026	W 38/2026	W 39/2026	W 40/2026	W 41/2026	W 42/2026	W 43/2026	W 44/2026	W 45/2026	W 46/2026	W 47/2026	W 48/2026	W 49/2026																																																				"
"1138092	FWX1	[00]	FWX1_MRP	0.000	0.000	0.000	0.000	1425.000	0.000	0.000	0.000	0.000	0.000	2000.000			0.000	2000.000																																																																																																																			"
"1138093	FWX1	[00]	FWX1_MRP	0.000	0.000	0.000	0.000	705.000	0.000	0.000	0.000	0.000	0.000	1000.000	0.000	0.000	0.000	1000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				0.000	0.000	0.000	0.000	0.000	0.000	0.000																																																																				"
"1141740	FWX1	[00]	FWX1_MRP	17963.000	2230.000	3272.000	2606.000	488.000	2540.000	1580.000	1018.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	28.000	408.000	24.000	0.000	0.000	66.000	290.000	266.000	340.000	450.000	354.000	306.000	354.000	234.000	384.000	384.000	360.000	360.000	498.000	472.000	448.000	448.000	462.000	606.000	486.000	558.000	504.000	642.000	576.000	504.000	504.000	598.000	592.000	588.000	582.000	582.000	458.000	676.000	580.000	578.000	516.000	240.000	216.000	216.000	402.000	546.000	498.000	474.000	498.000	336.000																																																									"
"1141741	FWX1	[00]	FWX1_MRP	9101.000	1115.000	1635.000	1303.000	244.000	1270.000	790.000	509.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	204.000	12.000	0.000	0.000	33.000	145.000	133.000	170.000	225.000	177.000	153.000	177.000	117.000	192.000	192.000	180.000	180.000	249.000	236.000	224.000	224.000	231.000	303.000	243.000	279.000	252.000	321.000	288.000	252.000	252.000	299.000	296.000	294.000	291.000	291.000	229.000	338.000	290.000	289.000	258.000	120.000	108.000	108.000	201.000	273.000	249.000	237.000	249.000	168.000																																																									"
"1142913	FWX1	[00]	FWX1_MRP	0.000	0.000	0.000	0.000	0.000	0.000	0.000						0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000																																																																		"
"1154427	FWX1	[00]	FWX1_MRP	1893.000	614.000	314.000	216.000	207.000	166.000	0.000	139.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000																																																									"
"1154503	FWX1	[00]	FWX1_MRP	0.000	0.000																												0.000	0.000	0.000	0.000						0.000	0.000	0.000	0.000	0.000	0.000																																																																																						"
"1154508	FWX1	[00]	FWX1_MRP											0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000																																																																																																														"
"1157647	FWX1	[00]	FWX1_MRP	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000							0.000	0.000	0.000	0.000									0.000	0.000	0.000																																																																																						"
"1158438	FWX1	[00]	FWX1_MRP	398.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.000	15.000	16.000	15.000	15.000	17.000	20.000	21.000	19.000	20.000	6.000	0.000	0.000	0.000	0.000	0.000																																																																																								"
