model_name,build_type,skuno,total_sn,passed_sn,pass_percentage,x_labels
ASTORIA,GA,1166348,7985,6918,86.63744521,ASTORIA_GA_1166348
ASTORIA,PROD,1158442,3314,2814,84.91249246,ASTORIA_PROD_1158442
ASTORIA,PROD,1154427,33466,28384,84.81443853,ASTORIA_PROD_1154427
ASTORIA,PROD,1166348,9022,7624,84.50454445,ASTORIA_PROD_1166348
ASTORIA,GA,1158440,794,659,82.99748111,ASTORIA_GA_1158440
ASTORIA,GA,1168109,65,53,81.53846154,ASTORIA_GA_1168109
ASTORIA,PROD,1154503,1661,1349,81.21613486,ASTORIA_PROD_1154503
ASTORIA,PROD,1158438,1037,842,81.19575699,ASTORIA_PROD_1158438
ASTORIA,PROD,1158440,4358,3531,81.02340523,ASTORIA_PROD_1158440
ASTORIA,GA,1158442,2434,1972,81.01889893,ASTORIA_GA_1158442
ASTORIA,DVT2,1179569,26,21,80.76923077,ASTORIA_DVT2_1179569
ASTORIA,PROD,1154500,730,585,80.1369863,ASTORIA_PROD_1154500
ASTORIA,GA,1158438,799,635,79.47434293,ASTORIA_GA_1158438
ASTORIA,PROD,1170489,170,135,79.41176471,ASTORIA_PROD_1170489
ASTORIA,PROD,1157647,19,15,78.94736842,ASTORIA_PROD_1157647
ASTORIA,PROD,1168109,1282,1000,78.00312012,ASTORIA_PROD_1168109
ASTORIA,PVT,1149516,68,53,77.94117647,ASTORIA_PVT_1149516
ASTORIA,GA,1154427,21677,16764,77.33542464,ASTORIA_GA_1154427
ASTORIA,PROD,1158445,2055,1577,76.73965937,ASTORIA_PROD_1158445
ASTORIA,GA,1154503,250,187,74.8,ASTORIA_GA_1154503
ASTORIA,GA,1158445,516,383,74.2248062,ASTORIA_GA_1158445
ASTORIA,PROD,1168111,289,205,70.93425606,ASTORIA_PROD_1168111
ASTORIA,PVT,1185399,1057,745,70.48249763,ASTORIA_PVT_1185399
ASTORIA,DVT2,1179567,13,9,69.23076923,ASTORIA_DVT2_1179567
ASTORIA,GA,1170032,282,188,66.66666667,ASTORIA_GA_1170032
ASTORIA,GA,1168111,100,66,66,ASTORIA_GA_1168111
ASTORIA,GA,1182051,36272,23858,65.77525364,ASTORIA_GA_1182051
ASTORIA,GA,1154500,1872,1212,64.74358974,ASTORIA_GA_1154500
ASTORIA,GA,1185401,17,11,64.70588235,ASTORIA_GA_1185401
ASTORIA,PVT,1182051,81540,52055,63.83983321,ASTORIA_PVT_1182051
ASTORIA,GA,1170489,84,53,63.0952381,ASTORIA_GA_1170489
ASTORIA,PVT,1170032,1723,1073,62.27510157,ASTORIA_PVT_1170032
ASTORIA,PVT,1185407,118,69,58.47457627,ASTORIA_PVT_1185407
ASTORIA,PVT,1185401,475,269,56.63157895,ASTORIA_PVT_1185401
ASTORIA,PVT,1185405,1817,996,54.81563016,ASTORIA_PVT_1185405
ASTORIA,GA,1180383,620,333,53.70967742,ASTORIA_GA_1180383
ASTORIA,DVT1,1179561,53,26,49.05660377,ASTORIA_DVT1_1179561
ASTORIA,PVT,1185397,1265,603,47.66798419,ASTORIA_PVT_1185397
ASTORIA,PROD,1154510,30,14,46.66666667,ASTORIA_PROD_1154510
ASTORIA,DVT2,1179565,100,40,40,ASTORIA_DVT2_1179565
ASTORIA,DVT2,1179573,13,5,38.46153846,ASTORIA_DVT2_1179573
ASTORIA,DVT3,1179575,16,5,31.25,ASTORIA_DVT3_1179575
ASTORIA,DVT3,1179579,10,2,20,ASTORIA_DVT3_1179579
ASTORIA,PVT,1182053,5,1,20,ASTORIA_PVT_1182053
ASTORIA,DVT1,1179559,53,9,16.98113208,ASTORIA_DVT1_1179559
ASTORIA,DVT,1179563,31,4,12.90322581,ASTORIA_DVT_1179563
ASTORIA,PVT,1185403,81,10,12.34567901,ASTORIA_PVT_1185403
ASTORIA,DVT3,1179577,16,0,0,ASTORIA_DVT3_1179577
ATHENA,DVT,1167981,14,10,71.42857143,ATHENA_DVT_1167981
ATHENA,GA,1178139,3667,2583,70.439051,ATHENA_GA_1178139
ATHENA,GA,1176304,1941,1364,70.27305513,ATHENA_GA_1176304
ATHENA,GA,1205593,13,9,69.23076923,ATHENA_GA_1205593
ATHENA,GA,1176298,878,532,60.59225513,ATHENA_GA_1176298
ATHENA,GA,1178143,539,322,59.74025974,ATHENA_GA_1178143
