model_name,build_type,skuno,station,serial_number,repair_detail_created_at,repair_code,result,symptom_labels
ASTORIA,GA,1154427,AST SDC Test,FWI2341-09108,,,0,error-monitor-unknown-error|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2341-09108,,,0,excessive-uncorrectable-cpu-type_core-errors|no-output-detected|rsync-error|test-completion-missing-error-dna
ASTORIA,GA,1154427,AST SDC Test,FWI2341-09108,2023-10-17 16:23:01,RESEAT - CPU,0,create telnet and ssh connection to dut failed|diorite pci string checking|diorite sanity check failed|excessive-uncorrectable-cpu-type_core-errors
ASTORIA,GA,1154427,AST SDC Test,FWI2341-09108,2023-10-17 16:24:10,RESEAT - CPU,0,create telnet and ssh connection to dut failed|diorite pci string checking|diorite sanity check failed|excessive-uncorrectable-cpu-type_core-errors
ASTORIA,GA,1154427,AST SDC Test,FWI2341-09108,2023-10-18 08:31:00,REPLACE- DIMM,0,hardware config check failed|procedural-error
ASTORIA,GA,1154427,AST SDC Test,FWI2341-09108,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2342-01459,,,0,error-monitor-unknown-error|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2342-01459,2023-10-24 09:40:00,RESEAT - CPU,0,hardware config check failed
ASTORIA,GA,1154427,AST SDC Test,FWI2342-01459,,,0,create telnet and ssh connection to dut failed|diorite sanity check failed|error-monitor-unknown-error|no-output-detected|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2342-01459,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2342-01496,2023-10-20 10:58:14,RETEST,0,error-monitor-unknown-error|task-failed-with-non-zero-code-return-code
ASTORIA,GA,1154427,AST SDC Test,FWI2342-01496,,,0,error-monitor-unknown-error|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-maxcorestim
ASTORIA,GA,1154427,AST SDC Test,FWI2342-01496,,,0,error-monitor-unknown-error|no-output-detected|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2342-01496,,,1,
