model_name,build_type,skuno,station,total_tests,failed_tests,failure_percentage,x_labels
ASTORIA,DVT,1179563,AST Functional Test,67,26.0,38.81,ASTORIA_DVT_1179563
ASTORIA,DVT,1179563,AST Google Firmware Update Test,33,4.0,12.12,ASTORIA_DVT_1179563
ASTORIA,DVT,1179563,AST Run-in Test,39,4.0,10.26,ASTORIA_DVT_1179563
ASTORIA,DVT,1179563,AST SDC Test,29,1.0,3.45,ASTORIA_DVT_1179563
ASTORIA,DVT,1179563,Turin Pre-Firmware Update Test,75,27.0,36.0,ASTORIA_DVT_1179563
ASTORIA,DVT1,1179559,AST Functional Test,186,48.0,25.81,ASTORIA_DVT1_1179559
ASTORIA,DVT1,1179559,AST Google Firmware Update Test,104,1.0,0.96,ASTORIA_DVT1_1179559
ASTORIA,DVT1,1179559,AST Run-in Test,131,11.0,8.4,ASTORIA_DVT1_1179559
ASTORIA,DVT1,1179559,AST SDC Test,111,8.0,7.21,ASTORIA_DVT1_1179559
ASTORIA,DVT1,1179559,Turin Pre-Firmware Update Test,181,26.0,14.36,ASTORIA_DVT1_1179559
ASTORIA,DVT1,1179561,AST Functional Test,57,11.0,19.3,ASTORIA_DVT1_1179561
ASTORIA,DVT1,1179561,AST Google Firmware Update Test,45,2.0,4.44,ASTORIA_DVT1_1179561
ASTORIA,DVT1,1179561,AST Run-in Test,62,18.0,29.03,ASTORIA_DVT1_1179561
ASTORIA,DVT1,1179561,AST SDC Test,48,5.0,10.42,ASTORIA_DVT1_1179561
ASTORIA,DVT1,1179561,Turin Pre-Firmware Update Test,72,20.0,27.78,ASTORIA_DVT1_1179561
ASTORIA,DVT2,1179565,AST Functional Test,149,67.0,44.97,ASTORIA_DVT2_1179565
ASTORIA,DVT2,1179565,AST Google Firmware Update Test,78,3.0,3.85,ASTORIA_DVT2_1179565
ASTORIA,DVT2,1179565,AST Run-in Test,97,18.0,18.56,ASTORIA_DVT2_1179565
ASTORIA,DVT2,1179565,AST SDC Test,83,6.0,7.23,ASTORIA_DVT2_1179565
ASTORIA,DVT2,1179565,Turin Pre-Firmware Update Test,120,26.0,21.67,ASTORIA_DVT2_1179565
ASTORIA,DVT2,1179567,AST Functional Test,6,1.0,16.67,ASTORIA_DVT2_1179567
ASTORIA,DVT2,1179567,AST Google Firmware Update Test,4,0.0,0.0,ASTORIA_DVT2_1179567
ASTORIA,DVT2,1179567,AST Run-in Test,4,0.0,0.0,ASTORIA_DVT2_1179567
ASTORIA,DVT2,1179567,AST SDC Test,5,1.0,20.0,ASTORIA_DVT2_1179567
ASTORIA,DVT2,1179567,Turin Pre-Firmware Update Test,8,3.0,37.5,ASTORIA_DVT2_1179567
ASTORIA,DVT2,1179569,AST Functional Test,16,11.0,68.75,ASTORIA_DVT2_1179569
ASTORIA,DVT2,1179569,AST Google Firmware Update Test,5,0.0,0.0,ASTORIA_DVT2_1179569
ASTORIA,DVT2,1179569,AST Run-in Test,5,0.0,0.0,ASTORIA_DVT2_1179569
ASTORIA,DVT2,1179569,AST SDC Test,5,0.0,0.0,ASTORIA_DVT2_1179569
ASTORIA,DVT2,1179569,Turin Pre-Firmware Update Test,7,0.0,0.0,ASTORIA_DVT2_1179569
